,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
Add the email address of the recipient into in-platform recognition reports ,19/7/2024,McLaren Automotive,UK,Admin,"Customer wants to pull report from the platform and easily reward recognised users in bulk.
As email address is a requirement for the bulk upload for reward, having that info on the recognition report would be really helpful and save them a lot of manual work.",Add an additional data field into already existing report,Global,180,2000+,Manufacturing/Engineering,,Kerry Wellbourne-Smith,Recognition & Rewards,,,,,,,,
The 'Billing Period' on invoices to include more detail specifying the charges are over three months/the quarter.  I have advised this customer that the date range is included but they don't feel it's clear enough (please see intercom thread for more info).,22/7/2024,Ethos Farm,UK,Admin,Delay in invoices being processed by customer ,Expand on the detail in invoices specifically around the billing period,Complex,120,250-2000,Corporate Services,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/5676798/conversation/87413502016780?view=List,Sagal Ali,Customer Experience,,,,,,,,
" have one suggestion that perhaps could be taken into consideration for future developments. We have auto-anniversaries setup to acknowledge each year anniversary. These are now taking up the majority of our recognitions on the celebration page, which means the other celebrations and shout-outs tend to get buried a bit. It would be great if these could be filtered out or displayed on a separate page to ensure that people don't miss the other recognitions.


For example the screenshot below, the 5 highlighted ones are anniversaries, and the other two get a bit lost:",23/7/2024,Veris Australia,AU,Admin,Improving ease of use,Better filters for different type of recognitions,Complex,60,450,Construction,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502066716?view=List,Felicia Goutama,Recognition & Rewards,,,,,,,,
Customer has suggested that left over Flexi-Points and Reward Points be donated to a charitable cause once they've left the business or once the company has churned.,24/7/2024,A Plan Insurance,UK,Admin,Illustrates that we're helping support charitable causes,Donation,complex,100,"2,600",Insurance,https://app.intercom.com/a/inbox/effyqzrr/inbox/conversation/87413501976305?view=List,Ben Newcombe,Wallet & Payments,Not Priority,"Ben Newcombe It's a great idea, they can do this manually before deactivation. For internal use: for Perkbox as a business, these leftover points are profit.",Maria,,,,,
Regarding the Culture Hub & Custom Benefits on the platform - the ability to drag and drop and re-rder without having to delete/edit,24/7/2024,Dog's Trust,UK,Admin,Reduces Admin burder - better user experience,drag/drop functionality,complex,,1750,Charity,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/5684800/conversation/87413502071995?view=List,Ben Newcombe,Customer Experience,Under Consideration,,,,,,,
Admin wants to be able to reclaim back reward points that are unspent by users ,24/7/2024,BC Services UK ,Global & UK,Admin ,Feel like they loose monty this way if not spent they can use the RPs to gift another user rather than loose all together ,,complex,,71,Heating solutions,https://us-30924.app.gong.io/call?id=8615524249225413454,Aneasa Hussain ,Wallet & Payments,Not Priority,"Aneasa Hussain We have a feature to reclaim points from manager's wallets in the backlog, but user's wallets will remain unaccessible for admins. Instead, we countinuosly work on improving user experience, deals and comms to stimulate users to spend their points. For internal use: our financial model doesn't allow this. ",Maria,,,,,
Admin wants to be able to move culture hub - Futher up the page shows at bottom and keeps getting lower,27/7/2024,Army benevolent fund,UK ,Admin ,The signed for 3 years as wanted a place to showcase thier culture since more lanes have been added culture hub now shows at the bottom of page and they want it at the top,Create moveable widgets,Nurture,,85,National Charity ,,Aneasa Hussain ,Perks & Mobile,In Progress,Aneasa Hussain this is something under active development for the apps,,,,,,
Only send billing-related comms to specific Admins. This customer have to remove their CEO as Admin because he was also receiving all invoice payment reminders,25/7/2024,Veris Australia,AU,Admin,Better customer experience,,Complex,60,450,Construction,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502073029?view=List,Felicia Goutama,Customer Experience,,,,,,,,
"Update error message that users see when a voucher is out of stock.  
Ebury are a £78k ACV customer who do not have FP and mainly use Reward (have a £50k subscription).  Most users across their regions are spending their points on Amazon.  Admin has had complaints about the vague error messages when trying to redeem (e.g. Amazon Reward in Spain showing an ""oops, error"" message).  For context - in this instance, it was the CPO (budget holder and decision maker) in Spain who had this error message.  They're also getting similar feedback from other users.  If a voucher is out of stock and is the reason they're unable to redeem, it would be better received if the error message explained this as opposed to a vague ""oops"" error that could lead people to believe the platform is faulty.",25/07/2024,Ebury - Admin and User,Global,Admin and User reporting the same feedback,Admin will have trouble justifying a renewal in Feb 2025 if they continue to get negative feedback from users,Update error message when redeeming vouchers,Global,120,250 - 2000,Financial Services,,Sagal Ali,Perks & Mobile,Under Consideration,Sagal Ali this can be considered. I'll reach out to you for more information.,,,,,,
"Reducing the number of reminders sent to users after the account is created (before it's activated). I've just heard a feedback that the current number of emails sent (one welcome + 4 nudges as this is apparently the current number) is excessive. If this is the number of notifications we want to provide to majority of tenants, the admin would appreciate being able to manage how many numbers of emails (or the frequency) themselves to avoid their employees complaining to their HR team about this. ",29/07/2024,"PrimaryBid Limited
, ",Global,Admin,Better customer experience,"Allowing us (or the admin) to adjust the frequency of invitation emails, as at that point the employee is not able to manage their own notifications",Global,80,101-250,Computer Software,,Ewelina Dudzik,Customer Experience,,,,,,,,
